Ticker,Fiscal_Year,Period_End_Date,Revenue_Millions_USD,Cost_Of_Revenue_Millions_USD,Gross_Profit_Millions_USD,Net_Income_Millions_USD,Diluted_Shares_Millions,Diluted_EPS_USD,Operating_Cash_Flow_Millions_USD,CapEx_Millions_USD,Free_Cash_Flow_Millions_USD,Total_Cash_Millions_USD,Total_Current_Assets_Millions_USD,Total_Current_Liabilities_Millions_USD,Working_Capital_Millions_USD,Total_Debt_Millions_USD,Total_Assets_Millions_USD,Total_Liabilities_Millions_USD,Total_Equity_Millions_USD,Goodwill_And_Intangibles_Millions_USD,Data_Source
AMKR,2023,2023-12-31,6503.065,5559.912,943.153,359.813,247.176,1.456,1270.02,749.467,520.553,1594.687,3195.81,1384.475,1811.335,1071.832,6771.125,2776.09,3995.035,20.003,SEC EDGAR
AMKR,2022,2022-12-31,7091.585,5761.598,1329.987,765.823,246.205,3.111,1098.756,908.294,190.462,1241.036,3301.239,1662.411,1638.828,1088.521,6821.757,3122.056,3699.701,21.517,SEC EDGAR
AMKR,2021,2021-12-31,6138.329,4912.775,1225.554,642.995,245.704,2.617,1121.295,779.779,341.516,1078.274,2856.563,1679.735,1176.828,1137.996,6038.554,3066.008,2972.546,24.516,SEC EDGAR
AMKR,2020,2020-12-31,5050.589,4149.775,900.814,338.138,242.248,1.396,770.033,553.021,217.012,831.771,2132.932,1315.987,816.945,1154.346,5022.311,2668.352,2353.959,27.325,SEC EDGAR
AMKR,2019,2019-12-31,4052.65,3403.211,649.439,120.888,240.122,0.503,563.85,472.433,91.417,901.296,2001.533,1059.803,941.73,1450.234,4695.615,2705.376,1990.239,25.976,SEC EDGAR
AMKR,2018,2018-12-31,4316.466,3605.901,710.565,127.092,239.741,0.53,663.41,547.122,116.288,681.569,1671.208,1158.423,512.785,1332.311,4495.447,2639.547,1855.9,25.72,SEC EDGAR
AMKR,2017,2017-12-31,4207.031,3445.952,761.079,263.55,239.651,1.1,618.267,550.943,67.324,596.364,1650.87,1361.789,289.081,1240.581,4521.509,2830.73,1690.779,25.036,SEC EDGAR
AMKR,2016,2016-12-31,3927.849,3217.958,709.891,175.53,238.034,0.737,729.402,650.038,79.364,549.518,1409.696,1005.661,404.035,1364.638,4092.086,2688.682,1403.404,24.122,SEC EDGAR
AMKR,2015,2015-12-31,2884.603,2405.338,479.265,51.098,237.17,0.215,584.975,537.975,47.0,523.172,1317.48,1018.184,299.296,1444.107,4031.3,2806.167,1225.133,19.443,SEC EDGAR
AMKR,2014,2014-12-31,3129.44,2576.618,552.822,129.739,236.731,0.548,614.666,681.12,-66.454,449.946,1197.948,700.59,497.358,1450.824,3635.405,2504.469,1130.936,0.0,SEC EDGAR
AMKR,2013,2013-12-31,2956.45,2411.937,544.513,109.296,235.33,0.464,557.536,566.256,-8.72,610.442,1232.416,690.936,541.48,1516.39,3427.298,2462.358,964.94,0.0,SEC EDGAR
AMKR,2012,2012-12-31,2759.546,2335.736,423.81,41.818,243.004,0.172,389.063,533.512,-144.449,413.048,1091.408,652.627,438.781,1320.0,3025.215,2358.421,666.794,0.0,SEC EDGAR
AMKR,2011,2011-12-31,2776.359,2285.79,490.569,91.808,273.686,0.335,516.832,466.694,50.138,434.631,996.83,642.186,354.644,1062.256,2773.047,2071.826,701.221,0.0,SEC EDGAR
AMKR,2010,2010-12-31,2939.483,2275.727,663.756,231.971,282.602,0.821,542.595,445.669,96.926,404.998,1062.067,772.208,289.859,964.219,2736.822,2100.141,636.681,0.0,SEC EDGAR
AMKR,2009,2009-12-31,2179.109,1698.713,480.396,155.98,263.379,0.592,261.725,173.496,88.229,395.406,932.925,605.837,327.088,1095.241,2432.909,2043.208,389.701,0.0,SEC EDGAR
AMKR,2008,2008-12-31,2658.602,2096.864,561.738,-456.695,182.734,-2.499,605.818,386.239,219.579,424.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEC EDGAR
AMZN,2025,2025-12-31,716924.0,356414.0,360510.0,77670.0,10827.0,7.174,139514.0,131819.0,7695.0,86810.0,229083.0,218005.0,11078.0,68851.0,818042.0,0.0,818042.0,32470.0,SEC EDGAR
AMZN,2024,2024-12-31,637959.0,326288.0,311671.0,59248.0,10721.0,5.526,115877.0,82999.0,32878.0,78779.0,190867.0,179431.0,11436.0,57791.0,624894.0,0.0,624894.0,31676.0,SEC EDGAR
AMZN,2023,2023-12-31,574785.0,304739.0,270046.0,30425.0,10492.0,2.9,84946.0,52729.0,32217.0,73387.0,172351.0,164917.0,7434.0,66955.0,527854.0,0.0,527854.0,30476.0,SEC EDGAR
AMZN,2022,2022-12-31,513983.0,288831.0,225152.0,-2722.0,10189.0,-0.267,46752.0,63645.0,-16893.0,53888.0,146791.0,155393.0,-8602.0,71349.0,462675.0,0.0,462675.0,26385.0,SEC EDGAR
AMZN,2021,2021-12-31,469822.0,272344.0,197478.0,33364.0,10296.0,3.24,46327.0,61053.0,-14726.0,36220.0,161580.0,142266.0,19314.0,50553.0,420549.0,0.0,420549.0,20478.0,SEC EDGAR
AMZN,2020,2020-12-31,386064.0,233307.0,152757.0,21331.0,10198.0,2.092,66064.0,40140.0,25924.0,42122.0,132733.0,126385.0,6348.0,32971.0,321195.0,0.0,321195.0,19998.0,SEC EDGAR
